"","pokedex_number","name","type1","type2","hp","attack","defense","sp_attack","sp_defense","speed","base_total","height_m","weight_kg","is_legendary"
"1","810","Grookey","grass",NA,"50","65","50","40","40","65","310","0.3","5","0"
"2","811","Thwackey","grass",NA,"70","85","70","55","60","80","420","0.7","14","0"
"3","812","Rillaboom","grass",NA,"100","125","90","60","70","85","530","2.1","90","0"
"4","813","Scorbunny","fire",NA,"50","71","40","40","40","69","310","0.3","4.5","0"
"5","814","Raboot","fire",NA,"65","86","60","55","60","94","420","0.6","9","0"
"6","815","Cinderace","fire",NA,"80","116","75","65","75","119","530","1.4","33","0"
"7","816","Sobble","water",NA,"50","40","40","70","40","70","310","0.3","4","0"
"8","817","Drizzile","water",NA,"65","60","55","95","55","90","420","0.7","11.5","0"
"9","818","Inteleon","water",NA,"70","85","65","125","65","120","530","1.9","45.2","0"
"10","819","Skwovet","normal",NA,"70","55","55","35","35","25","275","0.3","2.5","0"
"11","820","Greedent","normal",NA,"120","95","95","55","75","20","460","0.6","6","0"
"12","821","Rookidee","flying",NA,"38","47","35","33","35","57","245","0.2","1.8","0"
"13","822","Corvisquire","flying",NA,"68","67","55","43","55","77","365","0.8","16","0"
"14","823","Corviknight","flying","steel","98","87","105","53","85","67","495","2.2","75","0"
"15","824","Blipbug","bug",NA,"25","20","20","25","45","45","180","0.4","8","0"
"16","825","Dottler","bug","psychic","50","35","80","50","90","30","335","0.4","19.5","0"
"17","826","Orbettle","bug","psychic","60","45","110","80","120","90","505","0.4","40.8","0"
"18","827","Nickit","dark",NA,"40","28","28","47","52","50","245","0.6","8.9","0"
"19","828","Thievul","dark",NA,"70","58","58","87","92","90","455","1.2","19.9","0"
"20","829","Gossifleur","grass",NA,"40","40","60","40","60","10","250","0.4","2.2","0"
"21","830","Eldegoss","grass",NA,"60","50","90","80","120","60","460","0.5","2.5","0"
"22","831","Wooloo","normal",NA,"42","40","55","40","45","48","270","0.6","6","0"
"23","832","Dubwool","normal",NA,"72","80","100","60","90","88","490","1.3","43","0"
"24","833","Chewtle","water",NA,"50","64","50","38","38","44","284","0.3","8.5","0"
"25","834","Dreadnaw","water","rock","90","115","90","48","68","74","485","1","115.5","0"
"26","835","Yamper","electric",NA,"59","45","50","40","50","26","270","0.3","13.5","0"
"27","836","Boltund","electric",NA,"69","90","60","90","60","121","490","1","34","0"
"28","837","Rolycoly","rock",NA,"30","40","50","40","50","30","240","0.3","12","0"
"29","838","Carkol","rock","fire","80","60","90","60","70","50","410","1.1","78","0"
"30","839","Coalossal","rock","fire","110","80","120","80","90","30","510","2.8","310.5","0"
"31","840","Applin","grass","dragon","40","40","80","40","40","20","260","0.2","0.5","0"
"32","841","Flapple","grass","dragon","70","110","80","95","60","70","485","0.3","1","0"
"33","842","Appletun","grass","dragon","110","85","80","100","80","30","485","0.4","13","0"
"34","843","Silicobra","ground",NA,"52","57","75","35","50","46","315","2.2","7.6","0"
"35","844","Sandaconda","ground",NA,"72","107","125","65","70","71","510","3.8","65.5","0"
"36","845","Cramorant","flying","water","70","85","55","85","95","85","475","0.8","18","0"
"37","846","Arrokuda","water",NA,"41","63","40","40","30","66","280","0.5","1","0"
"38","847","Barraskewda","water",NA,"61","123","60","60","50","136","490","1.3","30","0"
"39","848","Toxel","electric","poison","40","38","35","54","35","40","242","0.4","11","0"
"40","849","Toxtricity","electric","poison","75","98","70","114","70","75","502","1.6","40","0"
"41","850","Sizzlipede","fire","bug","50","65","45","50","50","45","305","0.7","1","0"
"42","851","Centiskorch","fire","bug","100","115","65","90","90","65","525","3","120","0"
"43","852","Clobbopus","fighting",NA,"50","68","60","50","50","32","310","0.6","4","0"
"44","853","Grapploct","fighting",NA,"80","118","90","70","80","42","480","1.6","39","0"
"45","854","Sinistea","ghost",NA,"40","45","45","74","54","50","308","0.1","0.2","0"
"46","855","Polteageist","ghost",NA,"60","65","65","134","114","70","508","0.2","0.4","0"
"47","856","Hatenna","psychic",NA,"42","30","45","56","53","39","265","0.4","3.4","0"
"48","857","Hattrem","psychic",NA,"57","40","65","86","73","49","370","0.6","4.8","0"
"49","858","Hatterene","psychic","fairy","57","90","95","136","103","29","510","2.1","5","0"
"50","859","Impidimp","dark","fairy","45","45","30","55","40","50","265","0.4","5.5","0"
"51","860","Morgrem","dark","fairy","65","60","45","75","55","70","370","0.8","12.5","0"
"52","861","Grimmsnarl","dark","fairy","95","120","65","95","75","60","510","1.5","61","0"
"53","862","Obstagoon","dark","normal","93","90","101","60","81","95","520","1.6","46","0"
"54","863","Perrserker","steel",NA,"70","110","100","50","60","50","440","0.8","28","0"
"55","864","Cursola","ghost",NA,"60","95","50","145","130","30","510","1","0.4","0"
"56","865","Sirfetch'd","fighting",NA,"62","135","95","68","82","65","507","0.8","117","0"
"57","866","Mr. Rime","psychic","ice","80","85","75","110","100","70","520","1.5","58.2","0"
"58","867","Runerigus","ground","ghost","58","95","145","50","105","30","483","1.6","66.6","0"
"59","868","Milcery","fairy",NA,"45","40","40","50","61","34","270","0.2","0.3","0"
"60","869","Alcremie","fairy",NA,"65","60","75","110","121","64","495","0.3","0.5","0"
"61","870","Falinks","fighting",NA,"65","100","100","70","60","75","470","3","62","0"
"62","871","Pincurchin","electric",NA,"48","101","95","91","85","15","435","0.3","1","0"
"63","872","Snom","ice","bug","30","25","35","45","30","20","185","0.3","3.8","0"
"64","873","Frosmoth","ice","bug","70","65","60","125","90","65","475","1.3","42","0"
